check	state	path	detail
cron_file	present	/etc/cron.d/miemie-postgres-ops	-
cron_service	active	docs/reports/artifacts/2026-06-07-postgres-upgrade-rollout/r126-postgres-operational-cron-sequence-after-log-fix-20260812/evidence/cron-service-status.txt	-
operational_readiness	passed	validation-artifacts/postgres-ops-20260812-005439/status.json	trigger=manual_sequence
backup_retention	passed	validation-artifacts/postgres-backup-retention-20260812-005439/status.json	trigger=manual_sequence; deleted 0 expired backups
database_snapshot	passed	validation-artifacts/postgres-database-snapshot-20260812-005439/status.json	trigger=manual_sequence
