time	label	severity	state	result	detail
2026-06-20T09:38:16Z	postgres_ops_alert_selftest	critical	blocked	skipped	dry_run
2026-06-20T09:40:20Z	postgres_ops_alert_selftest	critical	blocked	skipped	dry_run
