check	state	path	detail
cron_file	present	/etc/cron.d/miemie-postgres-ops	-
cron_service	active	validation-artifacts/r119-postgres-operational-cron-evidence-current-20260620/cron-service-status.txt	-
operational_readiness	missing		no scheduled artifact found
backup_retention	missing		no scheduled artifact found
