check	state	path	detail
cron_file	present	/etc/cron.d/miemie-postgres-ops	-
cron_service	active	docs/reports/artifacts/2026-06-07-postgres-upgrade-rollout/r126-postgres-cron-natural-evidence-before-fix-20260812/cron-service-status.txt	-
operational_readiness	missing	-	no scheduled artifact found
backup_retention	missing	-	no scheduled artifact found
database_snapshot	missing	-	no scheduled artifact found
