label	vus	duration	http_req_failed	p95_ms	p99_ms	http_reqs	checks_fails	ok	reason
local-status-100	100	120s	0.000000000	17.371633	68.227867	23872	0	1
public-status-100	100	120s	0.000200894	138.397096	1603.556241	19911	12	0	checks_fails 12
